Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2011,0.00,"4,086.00","423,250.92",0.00,0.00,0.00,0.00,"238,374.12","2,150.00","326,566.61","433,038.13",0.00,"51,018.20",0.00,0.00,0.00,0.00,0.00,0.00,"918,940.44",0.00,0.00,0.00,"2,397,424.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun/2011,0.00,"6,274.88","665,240.82",0.00,0.00,0.00,0.00,"345,196.29","3,341.00","230,990.13","354,604.94",0.00,"24,115.30",0.00,0.00,"148,503.36",0.00,0.00,0.00,"553,883.42",0.00,0.00,0.00,"2,332,150.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul/2011,0.00,"11,323.38","394,362.55",0.00,0.00,0.00,0.00,"148,988.50",0.00,"188,581.40","369,694.76",0.00,"44,399.60",0.00,0.00,"328,990.04",0.00,0.00,0.00,"734,958.54",0.00,0.00,0.00,"2,221,298.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2011,0.00,"9,067.45","259,425.58",0.00,0.00,0.00,0.00,"565,627.93","2,176.00","201,844.49","270,765.31",0.00,"61,586.21",0.00,0.00,0.00,0.00,0.00,0.00,"1,014,324.28",0.00,0.00,0.00,"2,384,817.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2011,0.00,"9,462.40","335,474.56",0.00,0.00,0.00,0.00,"382,310.38",0.00,"260,669.22","335,803.82",0.00,"60,244.42",0.00,0.00,"166,170.51",0.00,0.00,0.00,"795,554.71",0.00,0.00,0.00,"2,345,690.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2011,0.00,"8,582.21","175,576.95",0.00,0.00,0.00,0.00,"319,091.05","1,669.00","239,711.91","351,555.66",0.00,"55,766.77",0.00,0.00,0.00,0.00,0.00,0.00,"612,133.26",0.00,0.00,0.00,"1,764,086.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/2011,0.00,"11,408.52","203,510.32",0.00,0.00,0.00,0.00,"384,368.36",0.00,"237,803.48","450,212.80",0.00,"45,729.26",0.00,0.00,0.00,0.00,0.00,0.00,"575,406.48",0.00,0.00,0.00,"1,908,439.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec/2011,0.00,"11,628.07","244,547.16",0.00,0.00,0.00,0.00,"141,052.55","2,114.00","367,820.54","534,925.36",0.00,"53,946.68",0.00,0.00,0.00,0.00,0.00,0.00,"732,921.03",0.00,0.00,0.00,"2,088,955.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2012,0.00,"13,869.74","192,178.43",0.00,0.00,0.00,0.00,"481,781.48",0.00,"318,283.44","434,648.17",0.00,"27,960.80",0.00,0.00,"332,101.50",0.00,0.00,0.00,"790,123.23",0.00,0.00,0.00,"2,590,946.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2012,0.00,"5,723.19","56,299.00",0.00,0.00,0.00,0.00,"162,561.29","2,220.00","253,583.96","372,893.49",0.00,"75,397.69",0.00,0.00,"167,575.16",0.00,0.00,0.00,"887,963.98",0.00,0.00,0.00,"1,984,217.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
